match1,match2,match3
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
A,205,hatch
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
258,B,D
205,B,C
205,hatch,258
A,205,258
205,hatch,258
205,hatch,258
205,258,257
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,B,A
258,257,B
205,hatch,258
205,258,257
205,hatch,258
C,205,hatch
205,hatch,258
205,hatch,258
A,205,hatch
A,205,hatch
205,B,C
205,D,hatch
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
A,205,hatch
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
B,205,hatch
205,hatch,258
205,hatch,258
205,hatch,258
205,A,hatch
258,257,D
258,257,B
205,hatch,258
door,D,205
205,hatch,258
door,205,hatch
205,hatch,258
205,hatch,258
A,205,hatch
205,B,hatch
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,258,257
205,hatch,258
205,hatch,258
257,B,D
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
B,D,205
205,hatch,258
205,B,C
D,205,hatch
B,205,hatch
D,205,hatch
B,C,A
205,258,257
B,A,D
205,hatch,258
205,hatch,258
door,205,hatch
205,hatch,258
205,hatch,258
C,205,hatch
205,hatch,258
205,258,257
205,hatch,258
A,205,hatch
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
D,205,258
205,hatch,258
D,205,hatch
205,hatch,258
205,B,C
205,hatch,258
205,hatch,258
D,B,205
205,hatch,258
A,205,hatch
D,205,hatch
C,A,D
A,205,hatch
258,257,B
205,B,D
205,hatch,258
205,hatch,258
205,hatch,258
A,205,hatch
C,D,205
205,258,257
205,hatch,258
205,D,B
A,205,hatch
205,hatch,258
door,D,205
205,B,A
205,hatch,258
A,205,hatch
205,hatch,258
205,A,hatch
205,D,hatch
205,B,C
205,hatch,258
A,205,hatch
205,B,A
B,A,205
B,C,A
205,A,hatch
205,B,A
205,C,hatch
205,hatch,258
D,205,hatch
205,B,A
205,hatch,258
205,hatch,258
B,205,A
205,B,A
205,hatch,258
205,hatch,258
B,C,A
205,hatch,258
205,hatch,258
D,205,hatch
D,205,hatch
205,hatch,258
205,hatch,258
205,258,257
205,hatch,258
205,hatch,258
B,C,A
205,A,258
205,B,A
205,258,257
205,hatch,258
205,A,hatch
205,hatch,258
205,door,B
205,hatch,258
205,258,257
205,hatch,258
205,hatch,258
B,D,205
205,A,hatch
205,hatch,258
D,205,hatch
