match1,match2,match3
205,hatch,258
C,205,hatch
C,205,hatch
205,hatch,258
C,A,205
205,hatch,258
exit,205,hatch
exit,B,C
exit,B,C
258,257,exit
exit,205,hatch
205,exit,B
205,257,exit
205,B,C
C,205,hatch
258,257,exit
C,205,hatch
205,hatch,258
205,hatch,258
exit,C,205
258,257,exit
exit,C,D
C,205,hatch
205,hatch,258
257,exit,C
exit,C,205
exit,C,A
257,exit,C
D,205,hatch
exit,C,205
exit,C,A
exit,D,205
D,205,hatch
258,257,exit
257,exit,C
258,257,exit
exit,205,hatch
exit,C,D
C,205,hatch
258,257,exit
258,257,exit
exit,B,C
D,205,hatch
257,258,D
258,257,exit
A,D,205
D,205,hatch
D,205,hatch
exit,C,D
205,hatch,258
258,257,D
205,hatch,258
205,hatch,258
D,205,hatch
exit,C,A
257,exit,D
258,257,exit
205,hatch,258
205,hatch,258
258,257,exit
C,205,hatch
exit,A,205
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
258,257,D
205,hatch,258
C,205,hatch
205,hatch,258
205,hatch,258
257,exit,205
258,257,exit
257,205,hatch
205,hatch,258
205,hatch,258
205,hatch,258
C,205,hatch
D,205,hatch
205,hatch,258
D,205,hatch
205,hatch,258
D,205,hatch
D,205,hatch
A,205,hatch
205,hatch,258
205,hatch,258
D,205,hatch
205,hatch,258
205,hatch,258
205,hatch,258
D,205,hatch
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
258,257,A
205,hatch,258
205,hatch,258
exit,205,hatch
205,hatch,258
D,205,hatch
205,hatch,258
D,205,hatch
205,hatch,258
205,hatch,258
D,205,hatch
205,hatch,258
A,205,hatch
205,hatch,258
205,A,D
205,hatch,258
258,257,D
258,257,D
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
D,205,hatch
D,205,hatch
D,205,hatch
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
D,205,hatch
205,hatch,258
258,257,D
A,D,205
205,hatch,258
D,205,hatch
205,hatch,258
205,hatch,258
205,hatch,258
D,205,hatch
205,hatch,258
257,205,hatch
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
257,A,205
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
