match1,match2,match3
205,hatch,258
A,205,hatch
205,hatch,258
205,hatch,258
205,hatch,258
205,230,hatch
205,hatch,258
205,230,hatch
205,hatch,258
C,205,hatch
C,205,hatch
205,hatch,258
205,hatch,258
door,205,hatch
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,230,hatch
205,hatch,258
205,hatch,258
205,door,230
205,hatch,258
205,hatch,258
205,hatch,258
205,230,hatch
205,C,230
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
C,205,hatch
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
A,205,hatch
205,C,230
205,hatch,258
205,hatch,258
A,205,hatch
A,205,hatch
A,205,hatch
205,A,230
205,230,hatch
205,hatch,258
205,hatch,258
exit,205,hatch
A,205,hatch
205,hatch,258
205,hatch,258
205,hatch,258
C,205,hatch
205,hatch,258
205,hatch,258
205,hatch,258
A,205,hatch
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
A,205,hatch
205,hatch,258
205,230,hatch
205,hatch,258
205,hatch,258
205,hatch,258
205,230,hatch
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
A,205,hatch
205,hatch,258
C,205,hatch
205,hatch,258
205,hatch,258
205,hatch,258
exit,205,hatch
C,205,hatch
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
C,205,hatch
205,door,hatch
205,hatch,258
205,hatch,258
205,hatch,258
exit,205,hatch
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,door,230
205,hatch,258
205,hatch,258
205,hatch,258
A,205,hatch
205,door,A
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
exit,C,205
A,205,hatch
door,A,205
A,205,hatch
205,hatch,258
205,hatch,258
205,hatch,258
