match1,match2,match3
257,B,C
257,258,B
257,205,B
C,A,205
205,hatch,258
B,A,205
A,B,C
B,A,257
205,hatch,258
B,257,C
A,257,C
A,B,C
A,B,205
A,C,B
B,A,C
B,C,A
B,230,257
205,hatch,258
B,C,205
B,257,C
B,230,257
B,A,C
B,A,C
B,C,A
B,A,230
B,C,A
C,B,230
A,257,C
B,A,230
B,C,257
257,B,A
A,C,B
B,A,205
C,230,205
A,B,205
205,hatch,258
B,C,A
A,B,C
257,C,230
B,A,230
A,B,C
B,A,C
A,B,C
C,A,257
B,257,C
A,257,B
B,C,257
B,A,257
B,257,A
B,A,C
B,257,C
257,230,B
A,B,230
B,A,C
B,C,257
C,257,B
257,B,A
B,257,A
B,C,257
B,257,C
257,B,C
A,B,C
257,C,A
A,257,B
B,C,A
B,257,258
A,257,B
257,B,C
B,C,A
A,205,257
257,B,C
B,257,C
B,257,A
B,A,258
A,230,257
B,C,205
B,C,A
B,A,205
B,A,257
257,C,A
A,257,B
C,205,258
B,C,A
B,C,A
A,257,B
B,257,C
C,A,257
205,hatch,258
C,A,257
A,B,C
