match1,match2,match3
C,A,230
C,257,A
257,B,A
257,B,C
257,C,A
257,258,C
C,257,A
257,C,205
C,257,205
205,A,258
257,C,A
C,257,258
257,205,B
C,257,A
257,C,A
257,B,A
257,B,C
257,A,258
257,C,A
B,C,A
257,C,A
C,B,A
C,A,205
257,C,A
257,C,A
257,C,A
C,A,257
C,A,205
257,A,B
C,258,A
C,257,A
257,C,205
230,257,B
257,C,A
257,C,A
257,C,A
257,B,C
257,B,C
C,A,205
257,258,exit
205,257,C
257,C,205
257,C,258
C,257,A
205,hatch,258
205,hatch,258
257,C,258
257,C,205
205,hatch,258
258,257,B
C,257,B
205,hatch,258
205,C,257
C,205,hatch
C,257,B
257,258,C
257,C,205
C,257,exit
257,C,258
C,A,257
257,C,A
257,258,C
257,B,258
C,257,205
C,257,B
257,C,258
257,C,A
257,C,258
C,257,A
257,B,258
257,B,C
C,205,258
205,257,C
257,C,205
258,257,C
C,257,258
257,C,258
257,C,205
205,257,A
B,A,205
205,C,258
C,257,hatch
205,258,257
205,258,257
257,B,C
257,C,A
257,C,205
C,A,205
257,C,A
C,205,257
C,205,257
257,C,B
257,258,B
257,C,258
B,205,258
C,258,257
257,C,A
257,258,B
258,257,C
258,A,205
257,A,205
257,B,A
257,A,258
257,B,C
257,B,A
258,257,A
A,258,257
258,257,205
257,258,B
205,258,B
A,B,C
A,C,230
205,hatch,258
A,257,205
205,hatch,258
B,C,257
257,B,C
B,A,257
257,B,A
257,205,258
257,B,C
