match1,match2,match3
B,A,230
B,A,258
A,C,257
B,257,A
A,230,257
B,A,257
A,230,258
A,257,B
A,257,B
A,258,257
C,257,B
257,B,258
A,B,257
B,A,258
C,257,B
C,258,B
258,257,B
A,258,257
A,258,C
B,A,257
258,C,A
257,258,A
230,A,B
C,230,258
258,257,B
A,230,257
A,230,258
A,B,230
A,230,257
B,A,257
A,258,257
257,B,A
A,258,257
A,230,257
257,A,230
A,C,230
A,258,257
257,B,A
B,257,A
257,A,230
A,257,230
A,B,230
A,258,257
A,257,B
257,A,230
257,A,258
B,258,A
230,257,A
A,230,258
A,257,230
257,A,230
A,B,258
257,A,230
A,B,230
A,257,B
B,A,C
258,A,257
257,B,A
A,230,257
230,257,B
B,258,257
A,257,230
B,A,230
B,A,257
A,230,257
B,230,258
230,A,hatch
A,230,257
B,230,A
205,hatch,258
A,257,230
B,258,A
B,A,257
A,257,230
A,B,230
258,257,A
A,257,B
257,B,A
A,B,257
257,B,hatch
A,257,B
258,257,B
257,230,B
257,B,A
257,B,C
257,A,230
A,257,258
258,257,A
A,257,230
257,A,B
A,257,230
B,C,A
257,258,B
257,A,230
257,hatch,258
257,C,A
A,257,258
257,A,258
257,B,C
257,B,A
A,258,257
257,A,B
257,B,C
