match1,match2,match3
205,hatch,258
257,B,A
B,A,hatch
B,door,A
B,hatch,door
B,205,hatch
B,205,hatch
205,hatch,258
B,258,205
B,hatch,258
205,hatch,258
205,hatch,258
D,B,A
205,hatch,258
B,hatch,A
B,A,hatch
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
B,hatch,A
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
door,B,A
205,hatch,258
205,hatch,258
hatch,257,door
205,hatch,258
205,hatch,258
205,A,258
205,hatch,258
205,hatch,258
B,A,205
258,205,hatch
205,hatch,258
205,hatch,258
205,hatch,258
205,B,hatch
205,hatch,258
205,hatch,258
B,257,hatch
B,A,hatch
205,hatch,258
