match1,match2,match3
door,D,205
door,A,D
door,205,hatch
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
B,205,hatch
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
A,205,hatch
205,hatch,258
B,205,hatch
205,hatch,258
205,hatch,258
205,hatch,258
C,205,hatch
205,hatch,258
205,hatch,258
A,205,hatch
D,205,hatch
D,205,hatch
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
door,D,205
205,hatch,258
205,hatch,258
door,D,205
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
D,205,hatch
A,D,205
205,hatch,258
205,hatch,258
205,hatch,258
A,205,hatch
D,205,hatch
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
door,D,205
205,hatch,258
205,hatch,258
205,hatch,258
door,D,205
A,205,hatch
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
A,205,hatch
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
D,205,hatch
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
door,D,205
A,205,hatch
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
door,D,205
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
A,205,hatch
205,hatch,258
205,hatch,258
A,205,hatch
205,hatch,258
C,D,205
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
A,205,hatch
205,hatch,258
205,hatch,258
205,hatch,258
A,205,hatch
A,205,hatch
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
A,205,hatch
A,205,hatch
205,hatch,258
D,205,hatch
205,A,hatch
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
B,205,hatch
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
B,205,hatch
205,hatch,258
A,D,205
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
B,A,205
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
205,hatch,258
D,205,hatch
205,hatch,258
